table_schema,table_name,indexname,indexdef
sch_facturador,failed_jobs,failed_jobs_pkey,CREATE UNIQUE INDEX failed_jobs_pkey ON sch_facturador.failed_jobs USING btree (id)
sch_facturador,jobs,jobs_pkey,CREATE UNIQUE INDEX jobs_pkey ON sch_facturador.jobs USING btree (id)
sch_facturador,t_acciones_pendientes,pk_acciones_pendientes_id,CREATE UNIQUE INDEX pk_acciones_pendientes_id ON sch_facturador.t_acciones_pendientes USING btree (id)
sch_facturador,t_clasificaciones_valores_prestaciones,pk_clasificaciones_valores_prestaciones_id,CREATE UNIQUE INDEX pk_clasificaciones_valores_prestaciones_id ON sch_facturador.t_clasificaciones_valores_prestaciones USING btree (id)
sch_facturador,t_conceptos_facturables,pk_concepto_facturable_id,CREATE UNIQUE INDEX pk_concepto_facturable_id ON sch_facturador.t_conceptos_facturables USING btree (id)
sch_facturador,t_configuracion_procesos,pk_configuracion_procesos_id,CREATE UNIQUE INDEX pk_configuracion_procesos_id ON sch_facturador.t_configuracion_procesos USING btree (id)
sch_facturador,t_detalle_factura,pk_detalle_factura_id,CREATE UNIQUE INDEX pk_detalle_factura_id ON sch_facturador.t_detalle_factura USING btree (id)
sch_facturador,t_episodios_generales,idx_episodios_generales_id_estado_episodio,CREATE INDEX idx_episodios_generales_id_estado_episodio ON sch_facturador.t_episodios_generales USING btree (id_estado_episodio)
sch_facturador,t_episodios_generales,pk_episodios_generales_id,CREATE UNIQUE INDEX pk_episodios_generales_id ON sch_facturador.t_episodios_generales USING btree (id)
sch_facturador,t_episodios_generales_estados,pk_episodio_general_estado_id,CREATE UNIQUE INDEX pk_episodio_general_estado_id ON sch_facturador.t_episodios_generales_estados USING btree (id)
sch_facturador,t_episodios_homologados,pk_episodio_homologado_id,CREATE UNIQUE INDEX pk_episodio_homologado_id ON sch_facturador.t_episodios_homologados USING btree (id)
sch_facturador,t_episodios_procesados,pk_episodios_procesados_id,CREATE UNIQUE INDEX pk_episodios_procesados_id ON sch_facturador.t_episodios_procesados USING btree (id)
