table_schema,table_name,ordinal_position,column_name,data_type,udt_name,is_nullable,column_default
sch_convenios,t_normas_documentos,7,id_ambito,integer,int4,YES,
sch_convenios,t_normas_operativas,1,id,bigint,int8,NO,nextval('sch_convenios.t_normas_operativas_id_seq'::regclass)
sch_convenios,t_normas_operativas,2,nombre,character varying,varchar,NO,
sch_convenios,t_normas_operativas,3,fecha_vigencia_inicio,timestamp with time zone,timestamptz,NO,
sch_convenios,t_normas_operativas,4,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
sch_convenios,t_normas_operativas,5,id_catalogo,bigint,int8,YES,
sch_convenios,t_normas_operativas_archivos,1,id,bigint,int8,NO,nextval('sch_convenios.t_normas_operativas_archivos_id_seq'::regclass)
sch_convenios,t_normas_operativas_archivos,2,id_norma_operativa,bigint,int8,NO,
sch_convenios,t_normas_operativas_archivos,3,id_document,integer,int4,YES,
sch_convenios,t_normas_operativas_archivos,4,fecha_hora_carga,timestamp with time zone,timestamptz,NO,now()
sch_convenios,t_normas_operativas_documentos_generales,1,id,bigint,int8,NO,nextval('sch_convenios.t_normas_operativas_documentos_generales_id_seq'::regclass)
sch_convenios,t_normas_operativas_documentos_generales,2,id_norma_operativa,bigint,int8,NO,
sch_convenios,t_normas_operativas_documentos_generales,3,id_tipo_norma_documento,integer,int4,NO,
sch_convenios,t_normas_operativas_documentos_generales,4,vigencia_dias,integer,int4,YES,
sch_convenios,t_normas_operativas_documentos_generales,5,fecha_hora,timestamp with time zone,timestamptz,NO,now()
sch_convenios,t_normas_operativas_documentos_generales_ambitos,1,id,bigint,int8,NO,nextval('sch_convenios.t_normas_operativas_documentos_generales_ambitos_id_seq'::regclass)
sch_convenios,t_normas_operativas_documentos_generales_ambitos,2,id_norma_operativa_documento_general,bigint,int8,NO,
sch_convenios,t_normas_operativas_documentos_generales_ambitos,3,id_ambito,integer,int4,NO,
