fk_schema,fk_table,constraint_name,fk_column,pk_schema,pk_table,pk_column,key_ordinal
sch_convenios,t_tarifarios,fk_tarifarios_id_catalogo,id_catalogo,sch_convenios,t_catalogos,id,1
sch_convenios,t_tarifarios_componentes,fk_componentes_tarifarios_comp_prestaciones,id_componente_prestacion,sch_convenios,t_componentes_prestaciones,id,1
sch_convenios,t_tarifarios_componentes,fk_componentes_tarifarios_tar_prest_catal,id_tarifario_prestacion_catalogo,sch_convenios,t_tarifarios_prestaciones_catalogos,id,1
sch_convenios,t_tarifarios_convenios_planes,fk_tarifarios_conv_plan_id_conv_plan,id_convenio_plan,sch_convenios,t_convenios_planes,id,1
sch_convenios,t_tarifarios_convenios_planes,fk_tarifarios_conv_plan_id_tarifario,id_tarifario,sch_convenios,t_tarifarios,id,1
sch_convenios,t_tarifarios_medicamentos,fk_tarifarios_medicamentos_id_orig_medicamento,id_medicamento_comercial,sch_convenios,t_medicamentos_comerciales,id,1
sch_convenios,t_tarifarios_prestaciones_catalogos,fk_tarifarios_pres_cat_id_pres_cat,id_prestacion_catalogo,sch_convenios,t_prestaciones_catalogos,id,1
sch_convenios,t_tarifarios_prestaciones_catalogos,fk_tarifarios_pres_cat_id_tarifario,id_tarifario,sch_convenios,t_tarifarios,id,1
sch_convenios,t_tarifarios_prestaciones_catalogos,fk_tarifarios_pres_cat_id_tipo_calc,id_tipo_calculo,sch_convenios,tm_tipos_calculos,id,1
sch_convenios,t_tarifarios_prestaciones_catalogos,fk_tarifarios_pres_cat_id_tipo_valorizacion,id_tipo_valorizacion,sch_convenios,tm_tipos_valorizaciones,id,1
sch_facturador,t_acciones_pendientes,fk_acciones_pendientes_id_accion,id_accion,sch_facturador,tm_tipos_acciones_prefacturar,id,1
sch_facturador,t_acciones_pendientes,fk_acciones_pendientes_id_estado,id_estado,sch_facturador,tm_estados_proceso,id,1
sch_facturador,t_clasificaciones_valores_prestaciones,fk_clasificaciones_valores_prestaciones_clasificaciones,id_clasificacion_valor,sch_convenios,t_clasificaciones_valores,id,1
sch_facturador,t_clasificaciones_valores_prestaciones,fk_clasificaciones_valores_prestaciones_prestaciones,id_prestacion,sch_facturador,t_prestaciones,id,1
sch_facturador,t_configuracion_procesos,fk_proceso_config,id_proceso,sch_facturador,t_procesos,id,1
sch_facturador,t_detalle_factura,fk_detalle_factura_conceptos_facturables,id_concepto_facturable,sch_facturador,t_conceptos_facturables,id,1
sch_facturador,t_detalle_factura,fk_detalle_factura_facturas,id_factura,sch_facturador,t_facturas,id,1
sch_facturador,t_episodios_generales,fk_episodio_general_tipo_motivo,id_tipo_motivo,sch_facturador,tm_tipos_motivos,id,1
sch_facturador,t_episodios_generales,fk_episodios_generales_estados_episodios,id_estado_episodio,sch_facturador,tm_estados_episodios,id,1
sch_facturador,t_episodios_generales,fk_episodios_generales_filiales,id_filial,sch_convenios,t_filiales,id,1
sch_facturador,t_episodios_generales,fk_episodios_generales_financiadores,id_financiador,sch_convenios,t_financiadores,id,1
sch_facturador,t_episodios_generales,fk_episodios_generales_gerenciador,id_gerenciador,sch_convenios,t_financiadores,id,1
sch_facturador,t_episodios_generales,fk_episodios_generales_planes,id_plan,sch_convenios,t_planes,id,1
sch_facturador,t_episodios_generales,fk_episodios_generales_prestadores,id_prestador,sch_convenios,t_prestadores,id,1
sch_facturador,t_episodios_generales,fk_procesamientos_id_orig_medi,id_capita,sch_convenios,t_capitas,id,1
sch_facturador,t_episodios_generales_estados,fk_episodios_generales_estados_episodios,id_episodio_general,sch_facturador,t_episodios_generales,id,1
sch_facturador,t_episodios_generales_estados,fk_episodios_generales_estados_estados,id_estado_episodio,sch_facturador,tm_estados_episodios,id,1
sch_facturador,t_episodios_homologados,fk_episodios_homologados_episodio_general,id_episodio_general,sch_facturador,t_episodios_generales,id,1
sch_facturador,t_episodios_homologados,fk_episodios_homologados_prefacturas,id_prefactura,sch_facturador,t_prefacturas,id,1
sch_facturador,t_episodios_homologados,fk_episodios_homologados_semafotos,id_semaforo,sch_facturador,tm_semaforos,id,1
sch_facturador,t_episodios_procesados,fk_episodios_procesados_id_episodio,id_episodio,sch_facturador,t_episodios_generales,id,1
sch_facturador,t_episodios_procesados,fk_episodios_procesados_id_estado_epsiodio_anterior,id_estado_episodio_anterior,sch_facturador,tm_estados_episodios,id,1
sch_facturador,t_episodios_procesados,fk_episodios_procesados_id_estado_proceso,id_estado_proceso,sch_facturador,tm_estados_proceso,id,1
sch_facturador,t_episodios_procesados,fk_episodios_procesados_id_financiador,id_financiador,sch_convenios,t_financiadores,id,1
sch_facturador,t_episodios_procesados,fk_episodios_procesados_id_gerenciador,id_gerenciador,sch_convenios,t_financiadores,id,1
sch_facturador,t_episodios_procesados,fk_episodios_procesados_id_plan,id_plan,sch_convenios,t_planes,id,1
sch_facturador,t_episodios_procesados,fk_episodios_procesados_id_prestador,id_prestador,sch_convenios,t_prestadores,id,1
sch_facturador,t_episodios_procesados,fk_episodios_procesados_id_semaforo,id_semaforo,sch_facturador,tm_semaforos,id,1
sch_facturador,t_exportacion_pami_job_parametros,fk1_job_id,job_id,sch_facturador,t_exportacion_pami_job,job_id,1
sch_facturador,t_exportacion_pami_job_prestadores,fk_exportacion_pami_job,job_id,sch_facturador,t_exportacion_pami_job,job_id,1
sch_facturador,t_facturas,fk_facturas_estados_facturas,id_estado_factura,sch_facturador,tm_estados_facturas,id,1
sch_facturador,t_facturas,fk_facturas_gerenciador,id_gerenciador,sch_convenios,t_financiadores,id,1
sch_facturador,t_facturas,fk_facturas_punto_venta,id_punto_venta,sch_convenios,t_prestadores_puntos_de_venta,id,1
sch_facturador,t_facturas_estado_factura,fk_estado_factura,id_estado_factura,sch_facturador,tm_estados_facturas,id,1
sch_facturador,t_facturas_estado_factura,fk_factura,id_factura,sch_facturador,t_facturas,id,1
sch_facturador,t_facturas_prefacturas,fk_facturas_prefacturas_facturas,id_factura,sch_facturador,t_facturas,id,1
sch_facturador,t_facturas_prefacturas,fk_facturas_prefacturas_prefacturas,id_prefactura,sch_facturador,t_prefacturas,id,1
sch_facturador,t_facturas_prestadores,fk_facturas_prestadores_facturas,id_factura,sch_facturador,t_facturas,id,1
sch_facturador,t_facturas_prestadores,fk_facturas_prestadores_prestadores,id_prestador,sch_convenios,t_prestadores,id,1
sch_facturador,t_importacion_descartables_job_parametros,fk_descartables_job_id,job_id,sch_facturador,t_importacion_descartables_job,job_id,1
sch_facturador,t_importacion_tarifario_job_parametros,fk1_job_id,job_id,sch_facturador,t_importacion_tarifario_job,job_id,1
sch_facturador,t_modulos_prestaciones_procesamientos,fk_mpp_id_prestacion_episodio_padre,id_prestacion_episodio_padre,sch_facturador,t_prestaciones_episodios,id,1
sch_facturador,t_modulos_prestaciones_procesamientos,fk_mpp_id_prestacion_referencia,id_prestacion_referencia,sch_facturador,t_prestaciones,id,1
sch_facturador,t_modulos_prestaciones_procesamientos,fk_t_modulos_prestaciones_procesamientos_id_episodio,id_episodio,sch_facturador,t_episodios_generales,id,1
sch_facturador,t_modulos_prestaciones_procesamientos,fk_t_modulos_prestaciones_procesamientos_id_prestacion_episodio,id_prestacion_episodio,sch_facturador,t_prestaciones_episodios,id,1
sch_facturador,t_modulos_procesamientos,fk_t_modulos_procesamientos_id_episodio,id_episodio,sch_facturador,t_episodios_generales,id,1
sch_facturador,t_modulos_procesamientos,fk_t_modulos_procesamientos_id_prestacion_episodio,id_prestacion_episodio,sch_facturador,t_prestaciones_episodios,id,1
